id,lossyear,year
14,201280.1757,2011
14,488128.3166,2012
14,3573256.838,2013
14,3823229.545,2014
14,2237639.744,2015
14,3568322.577,2016
14,2082270.662,2017
14,2915881.533,2018
14,3217632.971,2019
15,419649.6049,2001
15,15181.80658,2002
15,722225.045,2003
15,305293.7625,2004
15,463946.7429,2005
15,169810.2852,2006
15,81599.72228,2007
15,387320.2082,2008
15,832904.7249,2009
15,710340.2984,2010
15,75015.56189,2011
15,277237.167,2012
15,1070243.683,2013
15,1066272.333,2014
15,636387.2306,2015
15,1090110.092,2016
15,683534.5912,2017
15,801209.9392,2018
15,971763.5742,2019
16,109129.8621,2001
16,0,2002
16,159299.4893,2003
16,280389.2115,2004
16,132618.8076,2005
16,144992.5902,2006
16,22325.32721,2007
16,375762.0269,2008
16,765827.7241,2009
16,452831.049,2010
16,34827.65088,2011
16,195271.8267,2012
16,1234479.059,2013
16,1127694.952,2014
16,762248.4244,2015
16,1391484.651,2016
16,598512.1198,2017
16,832381.722,2018
16,1436896.544,2019
17,32182.38605,2001
17,37546.10736,2002
17,9833.507751,2003
17,5363.743286,2004
17,115190.5427,2005
17,70622.47559,2006
17,164487.9013,2007
17,284277.9779,2008
17,34397.99545,2009
17,300653.1797,2010
17,101017.0521,2011
17,84417.44538,2012
17,97521.84592,2013
17,388397.4133,2014
17,366868.9895,2015
17,390143.3146,2016
17,517947.5534,2017
17,425372.3526,2018
17,386126.0241,2019
18,35761.61795,2001
18,115319.6031,2002
18,126940.4925,2003
18,29500.34875,2004
18,29500.23352,2005
18,53468.90473,2006
18,44171.63302,2007
18,143785.8481,2008
18,16585.36111,2009
18,417305.3895,2010
18,96546.59882,2011
18,309737.5131,2012
18,257503.928,2013
18,352879.1704,2014
18,374950.5757,2015
18,423028.507,2016
18,466901.1415,2017
18,633383.3818,2018
18,1423207.636,2019
19,2681.583313,2001
19,2681.583923,2002
19,1787.724243,2003
19,8938.612244,2004
19,0,2005
19,0,2006
19,35754.4718,2007
19,0,2008
19,45586.94708,2009
19,69255.01848,2010
19,0,2011
19,20558.82007,2012
19,20558.82062,2013
19,70615.01971,2014
19,0,2015
19,24134.26672,2016
19,4469.311218,2017
19,45586.91095,2018
19,6257.031006,2019
20,334327.509,2001
20,146667.5255,2002
20,424738.6185,2003
20,47379.96429,2004
20,88333.4527,2005
20,428910.8596,2006
20,141198.6375,2007
20,204255.7383,2008
20,312539.3128,2009
20,428153.7529,2010
20,47379.2674,2011
20,140795.3652,2012
20,125672.0652,2013
20,258537.3718,2014
20,198411.4211,2015
20,603195.8136,2016
20,552998.3985,2017
20,611104.818,2018
20,617134.299,2019
21,892.8660278,2001
21,2678.728271,2002
21,0,2003
21,0,2004
21,0,2005
21,0,2006
21,0,2007
21,38.52085248,2008
21,1785.769714,2009
21,2678.716003,2010
21,5357.733582,2011
21,4464.569214,2012
21,2678.800293,2013
21,12500.68402,2014
21,0,2015
21,892.9208984,2016
21,0,2017
21,0,2018
21,0,2019
22,93667.14762,2001
22,25817.52899,2002
22,105051.1143,2003
22,243366.9059,2004
22,314275.0196,2005
22,394094.1855,2006
22,501946.2881,2007
22,0,2008
22,204876.636,2009
22,420215.3062,2010
22,24038.41461,2011
22,583296.8309,2012
22,325197.9829,2013
22,1199954.789,2014
22,791704.4107,2015
22,698613.2874,2016
22,634813.1533,2017
22,1001537.531,2018
22,571995.3553,2019
23,893.9556274,2001
23,0,2002
23,6667.850379,2003
23,0,2004
23,5363.733704,2005
23,2681.869263,2006
23,1787.903503,2007
23,893.9570313,2008
23,7151.637451,2009
23,7151.648743,2010
23,8939.541382,2011
23,22348.86658,2012
23,63470.80847,2013
23,25700.34466,2014
23,45255.15952,2015
23,7151.645508,2016
23,71877.53832,2017
23,40228.02698,2018
23,227629.3019,2019
24,202271.859,2001
24,28580.72546,2002
24,8932.867065,2003
24,70990.53033,2004
24,180555.8205,2005
24,11612.20746,2006
24,42384.64475,2007
24,15183.53833,2008
24,246907.1893,2009
24,52699.79899,2010
24,162568.5871,2011
24,183256.6269,2012
24,550486.1097,2013
24,166763.1137,2014
24,65533.27667,2015
24,124233.1567,2016
24,232717.9067,2017
24,74620.29667,2018
24,108970.1766,2019
25,893.9295044,2001
25,31287.44592,2002
25,32454.78523,2003
25,13408.89252,2004
25,19666.38312,2005
25,75251.21877,2006
25,21454.21863,2007
25,25923.90637,2008
25,3431.972226,2009
25,362604.5037,2010
25,127494.9709,2011
25,109356.8794,2012
25,8045.334595,2013
25,51987.96091,2014
25,69652.63865,2015
25,108165.1993,2016
25,91180.23639,2017
25,26751.12298,2018
25,28297.07364,2019
26,1787.866272,2001
26,0,2002
26,1048.18102,2003
26,0,2004
26,8445.046282,2005
26,2401.347795,2006
26,2762.42807,2007
26,13952.36642,2008
26,0,2009
26,1097.260581,2010
26,4469.666748,2011
26,17878.67737,2012
26,32083.44446,2013
26,33951.92464,2014
26,3880.721469,2015
